2013-03-31 05:33:37.812126; (0.17739529741162186, -0.17465558208089224, 2.187893420631691)rot: [ 0.99999056  0.0029775   0.00316427],[-0.00309611  0.99926658  0.03816705],[-0.00304831 -0.03817649  0.99926636]
2013-03-31 05:33:38.088126; (0.562309336158, 1.5105972179995422, 1.3858743257451727)rot: [ 0.99960432  0.01044867 -0.0261155 ],[-0.00981058  0.99965308  0.02444319],[ 0.02636184 -0.02417731  0.99936005]
2013-03-31 05:33:38.133402; (1.1879638324307813, 0.9708728793202354, 1.0433361912300863)rot: [ 0.99964153  0.02103742 -0.01656016],[-0.02072942  0.99961291  0.01855597],[ 0.01694412 -0.01820603  0.99969067]
2013-03-31 05:33:38.177447; (1.1856514000047054, 0.5725806378266449, 1.0900993033357012)rot: [ 0.99973597  0.02087838 -0.00959564],[-0.02069101  0.99960102  0.01922734],[ 0.00999325 -0.01902372  0.99976909]
2013-03-31 05:33:38.227290; (1.1794184736129092, 0.11391936658654671, 1.169148431826844)rot: [ 0.99978617  0.02061956 -0.00156745],[-0.02058324  0.99957917  0.02044067],[ 0.00198827 -0.02040403  0.99978984]
2013-03-31 05:33:38.305922; (1.1721349256016136, -0.43356041102285725, 1.4963349835985764)rot: [ 0.99976213  0.02025166  0.00809699],[-0.0204556   0.99945386  0.0259528 ],[-0.00756698 -0.02611226  0.99963038]
2013-03-31 05:33:38.377374; (1.1657025865324075, -0.43244624750127486, 1.5733148468046665)rot: [ 0.99976456  0.02012909  0.0081017 ],[-0.02034337  0.99942035  0.0272969 ],[-0.00754754 -0.02745529  0.99959454]
2013-03-31 05:33:38.427292; (1.1324823815623617, 0.2517731523648685, 1.7306352543533559)rot: [ 0.99979502  0.01988793 -0.0037945 ],[-0.01976407  0.99934599  0.0302816 ],[ 0.00439426 -0.0302004   0.9995342 ]
2013-03-31 05:33:38.477176; (1.130591304904833, -0.17146184468462866, 1.30146827520784)rot: [ 0.99980084  0.01965821  0.00343937],[-0.01973117  0.99954874  0.0226495 ],[-0.00299257 -0.02271285  0.99973755]
2013-03-31 05:33:38.527784; (1.1666849923505698, -2.6074541410828616, 1.561032223774424)rot: [ 0.99875757  0.01911448  0.04602131],[-0.02034001  0.99944688  0.02631019],[-0.04549295 -0.02721358  0.99859392]
2013-03-31 05:33:38.627477; (1.1032153684571315, -1.3058341669745044, 2.712038082380524)rot: [ 0.99955498  0.01815389  0.0236704 ],[-0.01924855  0.99871556  0.04686927],[-0.02278913 -0.04730403  0.99862054]
2013-03-31 05:33:38.677550; (1.0331315221242552, -0.2622260485725214, 2.796500629531398)rot: [ 0.99982696  0.01778584  0.00545019],[-0.01803038  0.99865077  0.04869841],[-0.00457669 -0.04878826  0.99879866]
