2013-04-09 15:00:12.499719;We're locked at: 4530.3889,7334.5607
2013-04-09 15:05:24.511986;Lost fix2013-04-09 15:05:33.518519;We're locked at: 4530.206,7334.3531
2013-04-09 15:05:46.511464;Lost fix2013-04-09 15:06:10.526481;We're locked at: 4530.2201,7334.3703
2013-04-09 15:06:19.555360;Lost fix2013-04-09 15:06:22.538164;We're locked at: 4530.2179,7334.3689
2013-04-09 15:06:26.512213;Lost fix2013-04-09 15:06:31.519254;We're locked at: 4530.2105,7334.3624
2013-04-09 15:06:34.520836;Lost fix2013-04-09 15:06:38.574874;We're locked at: 4530.1718,7334.3233
2013-04-09 15:06:40.511427;Lost fix2013-04-09 15:08:02.518689;We're locked at: 4530.1882,7334.357
2013-04-09 15:08:08.524873;Lost fix2013-04-09 15:09:46.518707;We're locked at: 4524.9059,7329.7333
2013-04-09 15:09:46.519976;Reached the boundary limits
2013-04-09 15:09:46.823279;Fired fuser, over boundary
2013-04-09 15:09:47.519037;Reached the boundary limits
2013-04-09 15:09:47.798904;Fired fuser, over boundary
2013-04-09 15:09:48.539385;Reached the boundary limits
2013-04-09 15:09:48.804965;Fired fuser, over boundary
2013-04-09 15:09:49.519277;Reached the boundary limits
2013-04-09 15:09:50.168455;Fired fuser, over boundary
2013-04-09 15:09:50.512219;Lost fix2013-04-09 15:09:50.738242;Fired fuser, over boundary
2013-04-09 15:09:51.738145;Fired fuser, over boundary
2013-04-09 15:09:51.738801;Turned off fuser
2013-04-09 15:10:14.538189;We're locked at: 4530.3493,7334.5126
2013-04-09 15:10:36.512359;Lost fix2013-04-09 15:11:22.518329;We're locked at: 4530.156,7334.359
2013-04-09 15:11:27.525446;Lost fix2013-04-09 15:11:58.518261;We're locked at: 4530.1538,7334.365
2013-04-09 15:12:03.519018;Lost fix2013-04-09 15:13:25.534876;We're locked at: 4530.3681,7334.531
2013-04-09 15:13:45.547537;Lost fix2013-04-09 15:15:06.527570;We're locked at: 4530.0637,7334.3421
2013-04-09 15:15:14.529069;Lost fix2013-04-09 15:15:25.519398;We're locked at: 4530.0792,7334.3556
2013-04-09 15:15:41.518930;Lost fix2013-04-09 15:15:48.519097;We're locked at: 4530.0489,7334.3423
2013-04-09 15:15:52.512259;Lost fix2013-04-09 15:16:22.518813;We're locked at: 4530.1292,7334.3983
2013-04-09 15:16:28.496280;Lost fix2013-04-09 15:16:32.519320;We're locked at: 4530.0656,7334.3649
2013-04-09 15:17:01.643195;Lost fix2013-04-09 15:17:08.518238;We're locked at: 4530.0424,7334.3578
2013-04-09 15:17:13.511535;Lost fix2013-04-09 15:17:40.580498;We're locked at: 4530.031,7334.3598
2013-04-09 15:17:49.587892;Lost fix2013-04-09 15:18:21.521231;We're locked at: 4530.3712,7334.5333
2013-04-09 15:18:40.547513;Lost fix2013-04-09 15:18:46.516378;We're locked at: 4530.0018,7334.3621
2013-04-09 15:19:34.511714;Lost fix2013-04-09 15:19:40.541401;We're locked at: 4529.9851,7334.3674
2013-04-09 15:20:20.548229;Lost fix2013-04-09 15:20:37.517822;We're locked at: 4529.9643,7334.3761
2013-04-09 15:21:06.511676;Lost fix2013-04-09 15:36:32.534866;We're locked at: 4530.3643,7334.5297
2013-04-09 16:06:32.539330;Lost fix2013-04-09 16:06:39.517832;We're locked at: 4530.3837,7334.5131
2013-04-09 16:06:51.516889;Lost fix2013-04-09 16:13:35.517375;We're locked at: 4530.4344,7334.2723
2013-04-09 16:13:36.511072;Lost fix2013-04-09 16:13:43.542477;We're locked at: 4530.3828,7334.5679
2013-04-09 16:16:40.525496;Lost fix2013-04-09 16:16:42.536573;We're locked at: 4530.4381,7334.2738
2013-04-09 16:19:31.510999;Lost fix2013-04-09 16:19:32.520906;We're locked at: 4530.4007,7334.3136
2013-04-09 16:19:45.525360;Lost fix2013-04-09 16:19:53.533152;We're locked at: 4530.4065,7334.3042
2013-04-09 16:20:20.547576;Lost fix2013-04-09 16:20:26.520392;We're locked at: 4530.4406,7334.2277
2013-04-09 16:20:44.511452;Lost fix2013-04-09 16:20:48.517265;We're locked at: 4530.4416,7334.2258
2013-04-09 16:20:56.516099;Lost fix2013-04-09 16:20:59.535141;We're locked at: 4530.3624,7334.5781
2013-04-09 16:25:17.518816;Lost fix2013-04-09 16:25:18.524866;We're locked at: 4530.3737,7334.5811
2013-04-09 16:54:11.516062;Lost fix2013-04-09 16:54:14.534320;We're locked at: 4530.393,7334.5701
2013-04-09 16:57:08.516596;Lost fix2013-04-09 16:57:09.518127;We're locked at: 4530.4121,7334.5526
2013-04-09 16:57:15.501261;Lost fix2013-04-09 16:57:16.535840;We're locked at: 4530.3956,7334.5648
2013-04-09 16:59:48.572242;Lost fix2013-04-09 17:00:10.570059;We're locked at: 4530.3783,7334.5872
2013-04-09 17:00:15.544749;Lost fix2013-04-09 17:00:42.522598;We're locked at: 4530.4031,7334.5517
2013-04-09 17:00:57.510934;Lost fix2013-04-09 17:01:19.524881;We're locked at: 4530.3814,7334.574
2013-04-09 17:02:10.511510;Lost fix2013-04-09 17:02:31.517351;We're locked at: 4530.3859,7334.5773
2013-04-09 17:02:56.524871;Lost fix2013-04-09 17:02:57.519460;We're locked at: 4530.4154,7334.5507
2013-04-09 17:03:17.510931;Lost fix2013-04-09 17:03:22.517195;We're locked at: 4530.385,7334.5699
2013-04-09 17:04:18.511015;Lost fix2013-04-09 17:04:25.569543;We're locked at: 4530.3916,7334.5782
2013-04-09 17:04:28.495752;Lost fix2013-04-09 17:04:48.525972;We're locked at: 4530.3881,7334.5462
2013-04-09 17:06:46.510831;Lost fix2013-04-09 17:07:07.560213;We're locked at: 4530.369,7334.589
2013-04-09 17:08:06.519092;Lost fix2013-04-09 17:08:18.518890;We're locked at: 4530.3799,7334.5792
2013-04-09 19:08:57.526189;Lost fix2013-04-09 19:09:40.532763;We're locked at: 4530.3764,7334.5534
2013-04-09 19:10:03.513847;Lost fix2013-04-09 19:10:20.517076;We're locked at: 4530.3759,7334.5416
2013-04-09 19:29:59.564379;Lost fix2013-04-09 19:30:11.574868;We're locked at: 4530.3576,7334.5518
2013-04-09 19:54:22.584860;Lost fix2013-04-09 19:54:32.494294;We're locked at: 4530.3919,7334.5604
2013-04-09 20:21:06.514868;Lost fix2013-04-09 21:32:06.519642;We're locked at: 4530.4177,7334.3395
